day,side,reason,short,qty,credit,actual,held,delta_pnl,touched_after_exit,settle
2026-01-02,bear,sr_inner_breach,6865,15,1837.5,-1950.0,1837.5,3787.5,1,6858.54
2026-01-06,bull,risk_off_reversal,6895,15,1312.4999999999998,-450.00000000000045,1312.5,1762.5,0,6944.52
2026-01-08,bull,risk_off_reversal,6880,15,1912.5,900.0000000000002,1912.5,1012.5,0,6921.1
2026-01-09,bear,risk_off_reversal,6965,15,1687.5000000000002,-1800.0000000000002,202.5,2002.5,1,6965.99
2026-01-13,bear,risk_off_reversal,7000,15,1162.5,300.0000000000001,1162.5,862.5,0,6962.98
2026-01-14,bear,risk_off_reversal,6970,15,2437.5,-300.0,2437.5,2737.5,0,6928.41
2026-01-15,bull,risk_off_reversal,6940,15,1387.5,375.0,1387.5,1012.5,1,6944.97
2026-01-16,bear,risk_off_reversal,6970,15,1387.5,-1650.0,1387.5,3037.5,0,6939.46
2026-01-23,bull,risk_off_reversal,6865,15,1837.5,525.0000000000002,1837.5,1312.5,0,6915.16
2026-01-26,bull,risk_off_reversal,6915,15,1462.5,1350.0,1462.5,112.5,0,6950.15
2026-01-27,bull,risk_off_reversal,6945,15,1012.5,75.0,1012.5,937.5,0,6978.58
2026-01-30,bear,risk_off_reversal,6975,15,2437.5,525.0,2437.5,1912.5,0,6937.5
2026-02-04,bear,risk_off_reversal,6940,15,3562.5,2850.0,3562.5,712.5,0,6882.76
2026-02-05,bear,risk_off_reversal,6865,15,2887.5,-2325.0,2887.5,5212.5,0,6799.99
2026-02-10,bull,risk_off_reversal,6930,15,1837.5,1050.0,1837.5,787.5,0,6940.01
2026-02-19,bear,risk_off_reversal,6880,15,862.5,-899.9999999999998,862.5,1762.5,0,6861.65
2026-02-20,bull,risk_off_reversal,6805,15,2737.5,-1124.9999999999995,2737.5,3862.5,0,6910.22
2026-02-26,bear,sr_inner_breach,6920,15,2587.5,-2175.0,2587.5,4762.5,0,6909.01
2026-02-27,bull,risk_off_reversal,6795,15,2737.5,900.0,2737.5,1837.5,0,6878.04
2026-03-02,bull,risk_off_reversal,6785,15,2287.5,-675.0000000000005,2287.5,2962.5,0,6880.05
2026-03-03,bear,risk_off_reversal,6805,15,2287.4999999999995,-1500.0000000000005,-15097.5,-13597.5,1,6816.59
2026-03-03,bull,sr_inner_breach,6815,15,7987.5,225.0,7987.5,7762.5,1,6816.59
2026-03-19,bull,risk_off_reversal,6530,15,1687.4999999999998,-2475.0,1687.5,4162.5,0,6606.2
2026-03-20,bear,risk_off_reversal,6615,15,2662.4999999999995,674.9999999999995,2662.5,1987.5,0,6508.32
2026-03-23,bull,risk_off_reversal,6555,15,2137.5,-300.0,2137.5,2437.5,0,6581.76
2026-03-24,bull,risk_off_reversal,6505,15,3562.5,675.0,3562.5,2887.5,0,6557.38
2026-04-01,bull,risk_off_reversal,6525,15,2287.4999999999995,899.9999999999993,2287.5,1387.5,0,6575.08
2026-04-07,bear,risk_off_reversal,6615,15,2437.5,-4800.0,-1942.5,2857.5,1,6617.92
2026-04-15,bull,risk_off_reversal,6950,15,1312.5000000000002,-524.9999999999998,1312.5,1837.5,0,7022.1
2026-04-16,bull,risk_off_reversal,7005,15,937.5000000000002,-4800.0,937.5,5737.5,0,7039.37
2026-04-20,bear,risk_off_reversal,7135,15,1837.5,1050.0,1837.5,787.5,0,7110.38
