tid,day,side,K,Kl,credit,qty,ex_min,actual_pnl,held_pnl,settle_ok,sigma,era,pnl_headline,pnl_actual_bs,pnl_chain,chain_ok
144,2025-09-08,p,6475.0,6435.0,1162.5,15,137,-1050.0000000000005,1162.5,1,0.0978,HELDOUT,1148.1821707963554,865.087564576155,525.0,True
145,2025-09-08,c,6505.0,6545.0,562.5,15,285,-299.9999999999999,562.5,1,0.0978,HELDOUT,547.322842204764,246.7841812642548,,False
146,2025-09-09,c,6515.0,6555.0,937.5,15,108,-375.0,937.5,1,0.0837,HELDOUT,630.459743065157,485.48002465861106,-75.0,True
147,2025-09-09,p,6485.0,6445.0,787.5000000000001,15,241,-224.9999999999999,787.5000000000001,1,0.0837,HELDOUT,771.1308477626932,741.7493279341957,187.5000000000001,True
148,2025-09-10,p,6515.0,6475.0,1387.5,15,107,-1500.0,1387.5,1,0.0892,HELDOUT,1339.72761968419,1126.7592833895862,-37.49999999999977,True
149,2025-09-10,c,6555.0,6595.0,787.5000000000001,15,201,-374.9999999999999,787.5000000000001,1,0.0892,HELDOUT,512.3695825515254,512.3695825515254,-37.5,True
150,2025-09-11,p,6525.0,6485.0,1762.5,15,392,1762.5,1762.5,1,0.1258,HELDOUT,1725.5205967655284,1762.5,825.0,True
151,2025-09-12,p,6565.0,6525.0,862.5,15,120,-1350.0000000000005,862.5,1,0.0965,HELDOUT,861.9408484215267,49.205562527427674,712.5,True
152,2025-09-15,p,6580.0,6540.0,562.4999999999999,15,97,-225.0000000000001,562.4999999999999,1,0.10369999999999999,HELDOUT,562.3450103345476,470.9364897118414,262.4999999999999,True
153,2025-09-16,c,6630.0,6670.0,937.5,15,211,375.0,937.5,1,0.0889,HELDOUT,934.3210553676977,727.282974622361,,False
154,2025-09-18,p,6595.0,6555.0,2062.5,15,143,374.9999999999998,2062.5,1,0.14150000000000001,HELDOUT,1766.4226109840067,1696.9606304651284,862.5000000000002,True
155,2025-09-19,c,6660.0,6700.0,1462.4999999999998,15,142,149.99999999999977,-2797.5000000002183,0,0.1426,HELDOUT,-2797.5000000002183,-892.3693772369863,-2797.5000000002183,True
156,2025-09-22,p,6635.0,6595.0,1087.5,15,392,1087.5,1087.5,1,0.11,HELDOUT,1087.329516082886,1087.5,937.5,True
157,2025-09-23,c,6715.0,6755.0,937.5,15,392,937.5,937.5,1,0.08900000000000001,HELDOUT,916.4249323879384,937.5,,False
158,2025-09-24,c,6645.0,6685.0,1087.5,15,393,1087.5,1087.5,1,0.0975,HELDOUT,946.9831865417573,1087.4933343382827,37.5,True
159,2025-09-25,p,6565.0,6525.0,1837.5,15,233,-450.0,1837.5,1,0.0935,HELDOUT,1829.458224594737,1832.8576972327814,262.5,True
160,2025-09-26,c,6650.0,6690.0,1837.5,15,171,225.0,1837.5,1,0.11539999999999999,HELDOUT,1491.734776806812,1378.9807282567042,-2.2737367544323206e-13,True
161,2025-09-30,p,6625.0,6585.0,1312.5000000000002,15,222,-1349.9999999999998,1312.5000000000002,1,0.0993,HELDOUT,1292.5494657519582,1173.219020717035,-74.99999999999977,True
162,2025-10-01,p,6640.0,6600.0,1462.5,15,390,1462.5,1462.5,1,0.1079,HELDOUT,1448.4640607470612,1462.5,750.0,True
