day,side,reason,vix1d,regime,entry_et,exit_et,short,D_entry,pmkt_entry,D_exit,pmkt_exit,actual_pnl,held_pnl,touched_after_exit,settle_beyond
2025-07-25,p,expiration,9.9,calm,10:40,16:02,6345.0,2.093,0.7608,,,787.5000000000001,787.5,0,1
2025-07-28,c,sr_inner_breach,8.92,calm,11:24,11:32,6410.0,1.558,0.762,1.377,0.7028,-450,937.5,0,1
2025-07-29,c,expiration,7.93,calm,10:58,16:02,6410.0,1.806,0.8285,,,787.4999999999999,787.5,0,1
2025-07-31,c,expiration,14.41,mid,14:40,16:02,6395.0,2.503,0.9278,,,2812.5,2812.5,0,1
2025-08-05,c,expiration,11.29,mid,10:09,16:04,6360.0,1.816,0.8119,,,1237.5,1237.5,0,1
2025-08-06,p,expiration,12.07,mid,10:10,16:02,6275.0,2.368,0.8075,,,1687.4999999999998,1687.5,0,1
2025-08-07,c,expiration,10.83,mid,10:15,16:00,6405.0,2.487,0.9297,,,1387.5,1387.5,0,1
2025-08-08,p,risk_off_reversal,12.43,mid,11:09,11:39,6340.0,2.26,0.8043,1.756,0.6878,-1499.9999999999998,1237.5,0,1
2025-08-11,c,sr_inner_breach,10.34,calm,13:46,13:47,6405.0,2.151,0.8867,1.8,0.8147,-299.99999999999994,412.5,0,1
2025-08-12,p,expiration,14.83,elevated,11:26,16:03,6385.0,1.903,0.7257,,,862.5000000000001,862.5,0,1
2025-08-13,c,risk_off_reversal,9.28,calm,10:59,15:22,6485.0,2.015,0.8731,4.091,0.9964,599.9999999999999,787.5,0,1
2025-08-14,p,risk_off_reversal,9.47,calm,10:36,11:10,6425.0,2.58,0.8524,2.459,0.8409,-375,1237.5,0,1
2025-08-18,c,sr_inner_breach,11.26,mid,12:58,13:00,6460.0,1.46,0.7278,1.289,0.6675,-300,487.5,0,1
2025-08-19,p,risk_off_reversal,7.89,calm,10:09,10:27,6425.0,2.302,0.7942,1.771,0.6756,-299.9999999999998,-18412.5,1,0
2025-08-19,c,expiration,7.89,calm,11:16,16:03,6455.0,2.126,0.8926,,,1012.5,1012.5,0,1
2025-08-21,p,risk_off_reversal,10.8,mid,10:10,11:13,6335.0,2.759,0.8712,2.324,0.8171,-750.0000000000005,2212.5,0,1
2025-08-21,c,sr_inner_breach,10.8,mid,13:28,13:35,6385.0,2.288,0.9104,1.748,0.8041,-1049.9999999999995,1312.5,0,1
2025-08-22,p,expiration,18.06,elevated,11:07,16:02,6425.0,1.741,0.6806,,,1687.4999999999998,1687.5,0,1
2025-08-25,p,sr_inner_breach,9.24,calm,11:39,13:04,6440.0,1.603,0.6435,1.762,0.6977,75,187.5,1,0
2025-08-26,p,risk_off_reversal,8.1,calm,10:27,13:52,6415.0,2.278,0.7955,3.362,0.9521,674.9999999999998,1237.5,0,1
2025-08-27,p,risk_off_reversal,7.57,calm,10:12,12:27,6440.0,2.433,0.8197,2.975,0.9166,-75,1162.5,0,1
2025-09-03,c,sr_inner_breach,11.66,mid,12:54,12:56,6450.0,1.593,0.7692,1.375,0.6989,-524.9999999999999,787.5,0,1
2025-09-04,c,sr_inner_breach,9.91,calm,10:11,10:25,6480.0,1.683,0.7785,1.113,0.5873,-1050,-31087.5,1,0
2025-09-04,p,expiration,9.91,calm,10:42,16:00,6435.0,1.851,0.7026,,,1612.5000000000002,1612.5,0,1
2025-09-05,c,expiration,13.53,mid,11:20,16:02,6505.0,2.016,0.8727,,,1762.5000000000002,1762.5,0,1
2025-09-08,p,risk_off_reversal,9.78,calm,10:48,11:47,6475.0,1.919,0.7225,1.546,0.6271,-1050.0000000000005,1162.5,0,1
2025-09-08,c,sr_inner_breach,9.78,calm,13:56,14:15,6505.0,2.047,0.8664,1.605,0.7568,-299.9999999999999,562.5,0,1
